"Commwnt","Designator","Footprint","JLCPCB"
"+12V","+12V","TP_40MIL","C238124"
"+5V","+5V","TP_40MIL","C238124"
"ANALOG","ANALOG","BOURNS_3266W","C123430"
"GND","ANALOG_","TP_40MIL","C238124"
"KF301-5.0-3P","ANALOG_IN","TBH-1x3/5/2Sh15x8","C474882"
"100nF","C1","CAP_1206","C82601"
"22pF","C3","CAP_0805_N","C1804"
"100nF","C4","CAP_1206","C82601"
"100nF","C5","CAP_1206","C82601"
"22pF","C6","CAP_0805_N","C1804"
"Led Red","D1","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D2","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D3","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D4","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D5","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D6","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D7","LED_1206(3216 Metric)_N_Green","C559117"
"Led Red","D8","LED_1206(3216 Metric)_N_Green","C559117"
"Led Green","D9","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D10","LED_1206(3216 Metric)_N_Green","C375582"
"Led Yellow","D11","LED_1206(3216 Metric)_N_Green","C93094"
"Led Green","D13","LED_1206(3216 Metric)_N_Green","C375582"
"Led Red","D14","LED_1206(3216 Metric)_N_Green","C559117"
"Led Green","D15","LED_1206(3216 Metric)_N_Green","C375582"
"Led Green","D16","LED_1206(3216 Metric)_N_Green","C375582"
"Led Yellow","D17","LED_1206(3216 Metric)_N_Green","C93094"
"Led Blue","D18","LED_1206(3216 Metric)_N_Green","C130717"
"644456-4","DISPLAY-LED","HDR-1x4T/2.54/10x2","C124378"
"7-SEG ANODO RED","DS1","KINGBRIGHT_SA56-11EWA","C141368"
"7-SEG ANODO RED","DS2","KINGBRIGHT_SA56-11EWA","C141368"
"GND","GND1","TP_40MIL","C238124"
"GND","GND2","TP_40MIL","C238124"
"ICSP","ICSP","HDR-1x6T/2.54/15x2","C37208"
"KF301-5.0-2P","J1","TBH-1x2/5/2Sh10x8","C474881"
"DC-005 2.0","J2","4840-2211","C16214"
"KF301-5.0-2P","J3","TBH-1x2/5/2Sh10x8","C474881"
"SIP-2_2.5x5.08x2.54P","J4","JMP","C358684"
"KF301-5.0-2P","J5","TBH-1x2/5/2Sh10x8","C474881"
"SIP-2_2.5x5.08x2.54P","J6","JMP","C358684"
"SIP-2_2.5x5.08x2.54P","J7","JMP","C358684"
"SIP-2_2.5x5.08x2.54P","J8","JMP","C358684"
"SIP-2_2.5x5.08x2.54P","J9","JMP","C358684"
"G5NB-1A-E DC12","K1","LD","C225714"
"G5NB-1A-E DC12","K2","LD","C225714"
"G5NB-1A-E DC12","K3","LD","C225714"
"","LAMP","FAIRCHILD_QEB363",""
"SIP-2_2.5x5.08x2.54P","ON-Lamp","JMP","C358684"
"SIP-2_2.5x5.08x2.54P","ON-Thermo","JMP","C358684"
"XKB8080-Z","ON/PROG","CK_PVA2-H2","C318860"
"OSC1","OSC1","TP_40MIL","C238124"
"OSC2","OSC2","TP_40MIL","C238124"
"Led Yellow","PicKit","LED_1206(3216 Metric)_N_Green","C93094"
"PWM2","PWM1","TP_40MIL","C238124"
"KF301-5.0-2P","PWM2","TBH-1x2/5/2Sh10x8","C474881"
"2n3904","Q1","SOT23-3P95_240X110L43X44N","C382281"
"2n3904","Q2","SOT23-3P95_240X110L43X44N","C382281"
"2k2","R1","RES_1206","C17948"
"10k","R2","RES_1206","C17902"
"10k","R3","RES_1206","C17902"
"330R","R4","RES_1206","C17930"
"470R","R5","RES_1206","C4502"
"330R","R6","RES_1206","C17930"
"470R","R7","RES_1206","C4502"
"330R","R8","RES_1206","C17930"
"470R","R9","RES_1206","C4502"
"330R","R10","RES_1206","C17930"
"470R","R11","RES_1206","C4502"
"330R","R12","RES_1206","C17930"
"470R","R13","RES_1206","C4502"
"330R","R14","RES_1206","C17930"
"470R","R15","RES_1206","C4502"
"330R","R16","RES_1206","C17930"
"470R","R17","RES_1206","C4502"
"330R","R18","RES_1206","C17930"
"470R","R19","RES_1206","C4502"
"1k","R20","RES_1206","C4410"
"470R","R21","RES_1206","C4502"
"1k","R22","RES_1206","C4410"
"1k","R23","RES_1206","C4410"
"10k","R24","RES_1206","C17902"
"1k","R25","RES_1206","C4410"
"10k","R26","RES_1206","C17902"
"1k","R27","RES_1206","C4410"
"1k","R28","RES_1206","C4410"
"10k","R29","RES_1206","C17902"
"470R","R30","RES_1206","C4502"
"470R","R31","RES_1206","C4502"
"470R","R32","RES_1206","C4502"
