"Designator.","Mid X (mm)","Mid Y (mm)","Side","Rotate"
"+12V","3.136","15.467","Top","0.0"
"+5V","3.136","21.579","Top","0.0"
"ANALOG","97.155","11.375","Top","0.0"
"ANALOG_","93.663","3.493","Top","90.0"
"ANALOG_IN","95.664","24.205","Top","90.0"
"C1","56.571","28.856","Top","180.0"
"C3","39.92","57.164","Top","180.0"
"C4","4.076","85.886","Top","180.0"
"C5","4.272","74.763","Top","180.0"
"C6","58.435","57.164","Top","0.0"
"D1","41.306","70.323","Top","90.0"
"D2","36.673","70.323","Top","90.0"
"D3","32.039","70.323","Top","90.0"
"D4","27.405","70.323","Top","90.0"
"D5","22.772","70.323","Top","90.0"
"D6","18.138","70.323","Top","90.0"
"D7","13.505","70.323","Top","90.0"
"D8","8.871","70.323","Top","90.0"
"D9","61.542","80.03","Top","90.0"
"D10","18.022","11.946","Top","270.0"
"D11","74.68","80.03","Top","90.0"
"D13","33.241","11.946","Top","270.0"
"D14","87.818","80.03","Top","90.0"
"D15","48.593","11.946","Top","270.0"
"D16","63.679","11.946","Top","270.0"
"D17","95.628","48.377","Top","90.0"
"D18","78.898","11.946","Top","270.0"
"DISPLAY-LED","2.832","53.136","Top","270.0"
"DS1","23.143","89.69","Top","0.0"
"DS2","36.494","89.69","Top","0.0"
"GND1","92.817","81.507","Top","0.0"
"GND2","3.136","9.355","Top","0.0"
"ICSP","99.227","41.855","Top","90.0"
"J1","57.613","93.972","Top","180.0"
"J2","10.667","94.423","Top","270.0"
"J3","70.75","93.972","Top","180.0"
"J4","11.601","2.379","Top","0.0"
"J5","83.888","93.972","Top","180.0"
"J6","26.856","2.379","Top","0.0"
"J7","42.111","2.379","Top","0.0"
"J8","57.367","2.379","Top","0.0"
"J9","72.622","2.379","Top","0.0"
"K1","56.113","78.046","Top","180.0"
"K2","69.25","78.046","Top","180.0"
"K3","82.388","78.046","Top","180.0"
"ON-Lamp","92.817","93.205","Top","90.0"
"ON-Thermo","98.168","93.205","Top","270.0"
"ON/PROG","85.09","25.4","Top","180.0"
"OSC1","58.163","62.016","Top","0.0"
"OSC2","54.781","62.016","Top","0.0"
"PicKit","83.82","12.7","Top","90.0"
"PWM1","92.817","87.026","Top","0.0"
"PWM2","96.868","60.771","Top","90.0"
"Q1","22.122","76.295","Top","180.0"
"Q2","35.027","76.457","Top","180.0"
"R1","92.817","69.672","Top","90.0"
"R2","28.185","76.457","Top","90.0"
"R3","41.922","76.457","Top","90.0"
"R4","48.142","98.158","Top","180.0"
"R5","41.306","64.463","Top","90.0"
"R6","48.142","93.298","Top","180.0"
"R7","36.673","64.463","Top","90.0"
"R8","48.142","88.439","Top","180.0"
"R9","32.039","64.463","Top","90.0"
"R10","48.142","83.58","Top","180.0"
"R11","27.405","64.463","Top","90.0"
"R12","48.142","78.721","Top","180.0"
"R13","22.772","64.463","Top","90.0"
"R14","48.142","73.862","Top","180.0"
"R15","18.138","64.463","Top","90.0"
"R16","48.142","69.003","Top","180.0"
"R17","13.505","64.463","Top","90.0"
"R18","48.142","64.144","Top","180.0"
"R19","8.871","64.463","Top","90.0"
"R20","61.705","70.096","Top","90.0"
"R21","15.481","34.502","Top","180.0"
"R22","18.022","6.58","Top","90.0"
"R23","74.85","70.096","Top","90.0"
"R24","11.601","25.176","Top","0.0"
"R25","33.241","6.58","Top","90.0"
"R26","27.387","25.176","Top","0.0"
"R27","87.988","70.096","Top","90.0"
"R28","48.46","6.58","Top","90.0"
"R29","42.111","25.176","Top","0.0"
"R30","83.82","17.78","Top","270.0"
"R31","87.63","17.78","Top","270.0"
"R32","95.628","41.452","Top","270.0"
"R33","63.679","6.58","Top","90.0"
"R34","57.372","25.176","Top","0.0"
"R35","93.345","6.35","Top","0.0"
"R36","78.898","6.58","Top","90.0"
"R37","72.622","25.176","Top","0.0"
"R38","15.481","32.074","Top","180.0"
"RESET","85.6","5.209","Top","90.0"
"RX","21.32","32.074","Top","180.0"
"S1","11.601","8.516","Top","270.0"
"S2","26.856","8.516","Top","270.0"
"S3","42.111","8.516","Top","270.0"
"S4","57.367","8.516","Top","270.0"
"S5","72.622","8.766","Top","90.0"
"THERMO","98.168","78.629","Top","90.0"
"TX","21.32","34.502","Top","180.0"
"TX-RX","2.554","33.343","Top","270.0"
"U1","95.091","75.152","Top","270.0"
"U3","15.481","43.503","Top","0.0"
"U4","9.594","80.203","Top","270.0"
"U5","83.888","59.831","Top","0.0"
"Uc","87.63","12.7","Top","90.0"
"VO1","11.601","18.443","Top","180.0"
"VO2","27.387","18.443","Top","180.0"
"VO3","42.111","18.443","Top","180.0"
"VO4","57.372","18.443","Top","180.0"
"VO5","72.622","18.443","Top","180.0"
"Y1","49.349","57.164","Top","0.0"
